PC	eigenvalue	proportion of total	cumulative proportion
0	530.76713	0.05489	0.05489
1	296.56612	0.03067	0.08556
2	247.65333	0.02561	0.11118
3	179.94556	0.01861	0.12979
4	156.51962	0.01619	0.14597
5	147.80529	0.01529	0.16126
6	123.39728	0.01276	0.17402
7	94.99224	0.00982	0.18384
8	90.23159	0.00933	0.19318
9	76.36346	0.0079	0.20107
10	70.45925	0.00729	0.20836
11	65.59132	0.00678	0.21514
12	63.0862	0.00652	0.22167
13	62.14154	0.00643	0.2281
14	59.91766	0.0062	0.23429
15	57.23196	0.00592	0.24021
16	54.61253	0.00565	0.24586
17	52.77178	0.00546	0.25132
18	50.38027	0.00521	0.25653
19	48.64398	0.00503	0.26156
20	48.14156	0.00498	0.26654
21	48.0022	0.00496	0.2715
22	45.08573	0.00466	0.27616
23	43.22723	0.00447	0.28063
24	42.82549	0.00443	0.28506
25	41.74509	0.00432	0.28938
26	40.67391	0.00421	0.29359
27	40.13322	0.00415	0.29774
28	38.16148	0.00395	0.30168
29	37.6823	0.0039	0.30558
30	36.26348	0.00375	0.30933
31	35.97583	0.00372	0.31305
32	35.67352	0.00369	0.31674
33	34.78748	0.0036	0.32034
34	34.59107	0.00358	0.32392
35	33.24483	0.00344	0.32736
36	32.81321	0.00339	0.33075
37	32.3731	0.00335	0.3341
38	32.28664	0.00334	0.33744
39	31.75442	0.00328	0.34072
40	31.09669	0.00322	0.34394
41	30.36211	0.00314	0.34708
42	29.77103	0.00308	0.35016
43	29.42674	0.00304	0.3532
44	29.18402	0.00302	0.35622
45	28.78602	0.00298	0.35919
46	28.72969	0.00297	0.36216
47	28.46529	0.00294	0.36511
48	27.80063	0.00288	0.36798
49	27.5514	0.00285	0.37083
50	26.66728	0.00276	0.37359
51	26.28181	0.00272	0.37631
52	26.35928	0.00273	0.37904
53	25.93188	0.00268	0.38172
54	25.43158	0.00263	0.38435
55	25.35444	0.00262	0.38697
56	24.99449	0.00258	0.38955
57	24.47227	0.00253	0.39209
58	24.34336	0.00252	0.3946
59	24.20394	0.0025	0.39711
60	23.82325	0.00246	0.39957
61	23.61212	0.00244	0.40201
62	23.41818	0.00242	0.40443
63	23.08146	0.00239	0.40682
64	22.89788	0.00237	0.40919
65	22.76916	0.00235	0.41154
66	22.59397	0.00234	0.41388
67	22.3562	0.00231	0.41619
68	22.19663	0.0023	0.41849
69	22.11736	0.00229	0.42078
70	21.74792	0.00225	0.42302
71	21.65057	0.00224	0.42526
72	21.55625	0.00223	0.42749
73	21.16057	0.00219	0.42968
74	21.03178	0.00218	0.43186
75	20.76956	0.00215	0.434
76	20.49088	0.00212	0.43612
77	20.33478	0.0021	0.43823
78	19.99898	0.00207	0.4403
79	19.85508	0.00205	0.44235
80	19.66433	0.00203	0.44438
81	19.552	0.00202	0.4464
82	19.47409	0.00201	0.44842
83	19.30472	0.002	0.45042
84	19.10987	0.00198	0.45239
85	18.92957	0.00196	0.45435
86	18.84716	0.00195	0.4563
87	18.68864	0.00193	0.45823
88	18.64779	0.00193	0.46016
89	18.59467	0.00192	0.46208
90	18.49322	0.00191	0.464
91	18.3146	0.00189	0.46589
92	18.06624	0.00187	0.46776
93	17.87858	0.00185	0.46961
94	17.83784	0.00184	0.47145
95	17.6956	0.00183	0.47328
96	17.51819	0.00181	0.47509
97	17.43876	0.0018	0.4769
98	17.1824	0.00178	0.47867
99	17.06441	0.00176	0.48044
100	16.82363	0.00174	0.48218
101	16.78733	0.00174	0.48391
102	16.72812	0.00173	0.48564
103	16.5725	0.00171	0.48736
104	16.53415	0.00171	0.48907
105	16.38904	0.00169	0.49076
106	16.24889	0.00168	0.49244
107	16.19404	0.00167	0.49412
108	16.09941	0.00167	0.49578
109	15.84113	0.00164	0.49742
110	15.8126	0.00164	0.49906
111	15.75604	0.00163	0.50069
112	15.71685	0.00163	0.50231
113	15.60475	0.00161	0.50393
114	15.50603	0.0016	0.50553
115	15.40711	0.00159	0.50712
116	15.26547	0.00158	0.5087
117	15.16054	0.00157	0.51027
118	15.00024	0.00155	0.51182
119	14.93559	0.00154	0.51337
120	14.91532	0.00154	0.51491
121	14.80185	0.00153	0.51644
122	14.75954	0.00153	0.51797
123	14.55354	0.00151	0.51947
124	14.49098	0.0015	0.52097
125	14.4234	0.00149	0.52246
126	14.33139	0.00148	0.52394
127	14.23793	0.00147	0.52542
128	14.16719	0.00147	0.52688
129	14.11133	0.00146	0.52834
130	13.9106	0.00144	0.52978
131	13.89722	0.00144	0.53122
132	13.73475	0.00142	0.53264
133	13.69775	0.00142	0.53405
134	13.54329	0.0014	0.53545
135	13.51377	0.0014	0.53685
136	13.46907	0.00139	0.53824
137	13.40505	0.00139	0.53963
138	13.34011	0.00138	0.54101
139	13.29703	0.00138	0.54239
140	13.18815	0.00136	0.54375
141	13.17477	0.00136	0.54511
142	13.06172	0.00135	0.54646
143	13.01782	0.00135	0.54781
144	12.98641	0.00134	0.54915
145	12.92998	0.00134	0.55049
146	12.8197	0.00133	0.55182
147	12.77418	0.00132	0.55314
148	12.67927	0.00131	0.55445
149	12.63362	0.00131	0.55575
150	12.58717	0.0013	0.55706
151	12.51429	0.00129	0.55835
152	12.43476	0.00129	0.55964
153	12.37614	0.00128	0.56092
154	12.34191	0.00128	0.56219
155	12.30289	0.00127	0.56347
156	12.23968	0.00127	0.56473
157	12.17592	0.00126	0.56599
158	12.08661	0.00125	0.56724
159	11.9868	0.00124	0.56848
160	11.96025	0.00124	0.56972
161	11.91357	0.00123	0.57095
162	11.9067	0.00123	0.57218
163	11.82129	0.00122	0.5734
164	11.72936	0.00121	0.57462
165	11.69057	0.00121	0.57583
166	11.61874	0.0012	0.57703
167	11.59794	0.0012	0.57823
168	11.52259	0.00119	0.57942
169	11.45045	0.00118	0.5806
170	11.37187	0.00118	0.58178
171	11.34523	0.00117	0.58295
172	11.32935	0.00117	0.58412
173	11.27491	0.00117	0.58529
174	11.20981	0.00116	0.58645
175	11.1813	0.00116	0.5876
176	11.12206	0.00115	0.58876
177	11.067	0.00114	0.5899
178	11.00651	0.00114	0.59104
179	10.96304	0.00113	0.59217
180	10.92323	0.00113	0.5933
181	10.90368	0.00113	0.59443
182	10.83212	0.00112	0.59555
183	10.77504	0.00111	0.59666
184	10.69703	0.00111	0.59777
185	10.68152	0.0011	0.59887
