accession_id,accession_prefix,accession_number,accession_suffix,observation_value,coded_name,method_name,plant_name,taxon,origin,source_type_code,latitude,longitude,data_quality_code,original_value,frequency,low,hign,mean,sdev,ssize,inventory_prefix,inventory_number,inventory_suffix,note
1001511,PI,588752,,1,FBBLNAT,APPLE.FIREBLIGHT,IRA 38-1,Malus x platycarpa,United States,DONATED,,,,,,,,,,,PI,588752,,
1001695,PI,588758,,1,FBBLNAT,APPLE.FIREBLIGHT,Vinti Sdlg. 101D,Malus prunifolia,United States,DONATED,,,,,,,,,,,PI,588758,,
1001884,PI,588765,,1,FBBLNAT,APPLE.FIREBLIGHT,Korea Wild Apple,Malus baccata,"Korea, South",COLLECTED,,,,,,,,,,,PI,588765,,
1002000,PI,588768,,1,FBBLNAT,APPLE.FIREBLIGHT,Manchu,Malus hybr.,United States,DONATED,,,,,,,,,,,PI,588768,,
1002583,PI,588790,,1,FBBLNAT,APPLE.FIREBLIGHT,Bisbee,Malus domestica,United States,COLLECTED,,,,,,,,,,,PI,588790,,
1003008,PI,588809,,1,FBBLNAT,APPLE.FIREBLIGHT,Sparkler,Malus hybr.,United States,DONATED,,,,,,,,,,,PI,588809,,
1003314,PI,588822,,1,FBBLNAT,APPLE.FIREBLIGHT,Red Splendor,Malus hybr.,Canada,DONATED,,,,,,,,,,,PI,588822,,
1003349,PI,588824,,1,FBBLNAT,APPLE.FIREBLIGHT,Almey,Malus hybr.,Canada,DEVELOPED,,,,,,,,,,,PI,588824,,
1003763,PI,588847,,1,FBBLNAT,APPLE.FIREBLIGHT,GMAL 162,Malus x platycarpa,United States,COLLECTED,,,,,,,,,,,PI,588847,,
1003799,PI,588849,,1,FBBLNAT,APPLE.FIREBLIGHT,Russian,Malus domestica,Unknown,COLLECTED,,,,,,,,,,,PI,588849,,
1004046,PI,588864,,1,FBBLNAT,APPLE.FIREBLIGHT,Liset (Crab),Malus hybr.,Canada,DONATED,,,,,,,,,,,PI,588864,,
1004092,PI,588866,,1,FBBLNAT,APPLE.FIREBLIGHT,Kerr,Malus hybr.,Canada,DEVELOPED,,,,,,,,,,,PI,588866,,
1004185,PI,588874,,1,FBBLNAT,APPLE.FIREBLIGHT,Nertchinsk,Malus baccata,Canada,DONATED,,,,,,,,,,,PI,588874,,
1004204,PI,588876,,1,FBBLNAT,APPLE.FIREBLIGHT,Makamik,Malus hybr.,Canada,DEVELOPED,,,,,,,,,,,PI,588876,,
1004268,PI,588882,,1,FBBLNAT,APPLE.FIREBLIGHT,Ottawa 7,Malus hybr.,Canada,DONATED,,,,,,,,,,,PI,588882,,
1004328,PI,588887,,1,FBBLNAT,APPLE.FIREBLIGHT,Profusion,Malus hybr.,Netherlands,DEVELOPED,,,,,,,,,,,PI,588887,,
1004478,PI,588898,,1,FBBLNAT,APPLE.FIREBLIGHT,GMAL 220,Malus x adstringens,United States,DONATED,,,,,,,,,,,PI,588898,,
1004526,PI,588901,,1,FBBLNAT,APPLE.FIREBLIGHT,Tina,Malus sargentii,United States,DONATED,,,,,,,,,,,PI,588901,,
1004548,PI,588902,,1,FBBLNAT,APPLE.FIREBLIGHT,Gwendolyn,Malus hybr.,United States,DONATED,,,,,,,,,,,PI,588902,,
