accession_id,accession_prefix,accession_number,accession_suffix,observation_value,coded_name,method_name,plant_name,taxon,origin,source_type_code,latitude,longitude,data_quality_code,original_value,frequency,low,hign,mean,sdev,ssize,inventory_prefix,inventory_number,inventory_suffix,note
1001720,PI,588759,,1,FBSHNAT,APPLE.FIREBLIGHT,GMAL 54,Malus ioensis,United States,DEVELOPED,,,,,,,,,,,PI,588759,,
1001818,PI,588763,,1,FBSHNAT,APPLE.FIREBLIGHT,Pyramidal,Malus hybr.,United States,DONATED,,,,,,,,,,,PI,588763,,
1001844,PI,588764,,1,FBSHNAT,APPLE.FIREBLIGHT,GMAL 59,Malus fusca,United States,DONATED,,,,,,,,,,,PI,588764,,
1001933,PI,588766,,1,FBSHNAT,APPLE.FIREBLIGHT,Striped Beauty,Malus hybr.,United States,DONATED,,,,,,,,,,,PI,588766,,
1002000,PI,588768,,1,FBSHNAT,APPLE.FIREBLIGHT,Manchu,Malus hybr.,United States,DONATED,,,,,,,,,,,PI,588768,,
1002133,GMAL,72,,1,FBSHNAT,APPLE.FIREBLIGHT,EM.8,Malus hybr.,United States,DONATED,,,,,,,,,,,GMAL,72,,
1003513,GMAL,145,,1,FBSHNAT,APPLE.FIREBLIGHT,Radiant,Malus hybr.,United States,DEVELOPED,,,,,,,,,,,GMAL,145,,
1003799,PI,588849,,1,FBSHNAT,APPLE.FIREBLIGHT,Russian,Malus domestica,Unknown,COLLECTED,,,,,,,,,,,PI,588849,,
1004092,PI,588866,,1,FBSHNAT,APPLE.FIREBLIGHT,Kerr,Malus hybr.,Canada,DEVELOPED,,,,,,,,,,,PI,588866,,
1004155,PI,588871,,1,FBSHNAT,APPLE.FIREBLIGHT,Spartan,Malus domestica,Canada,DEVELOPED,,,,,,,,,,,PI,588871,,
1004268,PI,588882,,1,FBSHNAT,APPLE.FIREBLIGHT,Ottawa 7,Malus hybr.,Canada,DONATED,,,,,,,,,,,PI,588882,,
