PLANTID,apple_id,ACCID,origin,species,use,country,world,release_year,acidity_16_stor,brix_16_stor,weight_avg_16_stor,firmness_avg_16_stor,brix_acid_16_stor,acidity_16_harv,juiciness_16_harv,date_jul_16_harv,weight_avg_16_harv,brix_avg_16_harv,firmness_avg_16_harv,flowering_jul_16_harv,precocity_16_harv,brix_acid_16_harv,time_ripen_16_harv,percent_acidity_16,percent_brix_16,percent_weight_16,percent_firmness_avg_16,percent_brix_acid_16,acidity_17_stor,brix_17_stor,weight_avg_17_stor,firmness_avg_17_stor,brix_acid_17_stor,brix_17_harv,acidity_17_harv,date_jul_17_harv,firmness_avg_17_harv,weight_avg_17_harv,brix_acid_17_harv,percent_acidity_17,percent_brix_17,percent_weight_avg_17,percent_firmness_avg_17,percent_brix_acid_17,tpc,frap,time_ripen_2017
8B 14 56,35,NA,Kentville,domestica,dessert,Canada,new,NA,NA,NA,NA,NA,NA,4.26541577562656,12.3377492776935,309.40729830603,181.024100175761,14.0270048374638,6.69105729444209,151.918111767642,2.4964768942863,3.34078487363902,157.612767657031,NA,NA,NA,NA,NA,3.7118,13.4,194.234,6.4358,3.6101083032491,12.7771873689334,4.41299920049082,271.846853534779,7.22274606254246,222.71286239291,2.95100924451772,-15.8894023912996,4.87441103494274,-12.7872553416639,-10.8953859893206,22.3346998982071,4.49563446385116,4.30476298308296,119.798089212379
8C 18 30,46,NA,Kentville,domestica,dessert,Canada,new,NA,NA,NA,NA,NA,NA,3.31818963284997,11.4608926106443,306.343549171815,140.180332239964,12.7220726027567,8.56443363926847,151.780918892971,1.04490662303398,3.70192513602192,154.990185110927,NA,NA,NA,NA,NA,4.1138,13,145.602,6.0944,3.16009528902718,12.1848188155056,5.73718883755617,261.021023439437,10.0253182786262,160.497129896334,2.22733566135441,-28.2958933986854,6.69013792356972,-9.28062072259787,-39.209910043523,41.8778203867832,2.09499744786448,2.78826180960826,109.005228304146
8S-26-52,54,NA,Kentville,domestica,dessert,Canada,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.112931800342,2.03476694108051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8S-29-18,50,NA,Kentville,domestica,dessert,Canada,new,NA,2.077,12.4,110.849,6.5639,5.97014925373134,3.05282773430604,17.4856725701306,310.304643904039,143.784002570393,12.5201677966612,8.22636563529858,153.121205120069,2.96163123283932,3.86707591281483,155.564437366283,-31.9647166245318,-0.959793819163072,-22.9058879858827,-20.2089927557449,54.3840717982102,3.082,13.1,125.388,7.218,4.25048669695003,11.4564765721731,4.01634535008563,268.407509185043,9.51485972287825,178.458141839303,2.96719339529356,-23.2635709492888,14.3458018481781,-29.7381454790061,-24.1397118798873,43.2493986975024,3.03294991306508,3.73356677083381,115.42539809206
Aargauer Jubilaums,390,134397,USDA,domestica,cider,Switzerland,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.930159232927,1.08121155948141,NA,NA,NA,NA,NA,NA,NA,5.0116,13.4,257.98,4.909,2.67379679144385,11.0564750324172,7.14837234162034,282.651147209945,9.29557743398234,248.634405226211,1.48870850916268,-29.8917325441947,21.195950433675,3.75876973473815,-47.1899402176576,79.6051258515154,NA,NA,NA
Adersleber Kalvill,559,134083,USDA,domestica,dessert,Germany,old,1870,5.7754,12.4,106.206,4.563,2.14703743463656,3.81818963284997,13.4463147372647,290.987759139856,132.030827594021,11.5998503805345,8.05187024399596,151.778735457448,0.993782121631552,2.96819497729176,138.823950020821,51.2601666064745,6.89793051820924,-19.5596953110294,-43.32993625422,-27.6652156929542,NA,NA,NA,NA,NA,11.631082177238,NA,274.760275502283,8.5695502308256,233.807828004321,NA,NA,NA,NA,NA,NA,4.40930053433465,4.7649434044492,122.612330903289
Aivania,411,331997,USDA,domestica,dessert,Bulgaria,old,NA,2.2646,12.8,119.226,5.3007,5.65221231122494,2.50497585045717,17.6145327317659,309.292663348916,131.349579569814,12.2287083374441,7.12850209101604,151.934111117361,1.9598300488262,4.92020669460724,157.117165622322,-9.59593484357544,4.67172531056788,-9.23001018314655,-25.6407596950781,14.8775379176653,2.613,12,132.524,6.5452,4.59242250287026,10.2967489295727,3.98183484153304,276.263117026107,8.51555178285403,146.036240877674,2.55184617160234,-34.3769868919532,16.5416393278804,-9.25266276128842,-23.1382749244895,79.964707668355,4.48978725568172,4.26730038513432,124.392421021894
Akane,245,196060,Kentville,domestica,dessert,Japan,old,1937,4.489,12.5,127.014,3.8442,2.78458453998663,5.08896594360054,14.212184677846,272.677260106017,134.563545217689,11.1006108804603,6.276806576368,152.637311278271,1.30317877149913,2.20893077470357,120.333353928252,-11.7895452681307,12.6064154001016,-5.6103941119237,-38.755480940367,26.0602899771864,5.8156,12.6,140.304,4.4074,2.16658642272508,11.0457516839258,7.64223738516136,249.9313939245,7.87183244536767,124.377300559086,1.39357395234369,-23.9018666013709,14.0710054014341,12.8051496288488,-44.0104952615751,55.4697846555865,3.34073238606027,3.65645108692858,96.9921812300233
Akero,460,543278,USDA,domestica,dessert,Sweden,old,NA,NA,NA,NA,NA,NA,5.9945018928077,10.6392394782753,259.888119531022,120.44288588225,10.6628956592912,7.63810555830028,152.130140581542,1.94233270621439,1.79956500977342,107.310084726418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5878735128027,6.27649007269632,240.279203634086,9.96435178285403,142.39819447513,1.84489942585861,NA,NA,NA,NA,NA,NA,NA,NA
Alkmene,505,257101,USDA,domestica,dessert,Germany,old,1962,4.9312,14.9,132.928333333333,4.01916666666667,3.02157689811811,5.11264191840315,12.8780546184273,298.592119609951,174.396650938468,13.4652704055043,5.34732349292304,152.085306621876,0.997313696195944,2.75975989494865,146.517602675147,-3.54888766510409,10.6550373760724,-23.7781616688076,-24.8377871287221,9.48694861638793,5.1456,12.2,134.884,3.3674,2.37095771144279,11.6258037952261,6.31108423914382,260.027967792458,6.63540856092598,137.161599224093,1.80192940983911,-18.4672584769988,4.93898069232582,-1.6605225055534,-49.2510526054167,31.5788342482566,3.6697938474742,4.11626233478276,107.898483506124
