PC	eigenvalue	proportion of total	cumulative proportion
0	1007.99511	0.06224	0.06224
1	604.42399	0.03732	0.09956
2	483.47081	0.02985	0.12941
3	336.73861	0.02079	0.1502
4	320.05604	0.01976	0.16997
5	268.97285	0.01661	0.18657
6	229.60333	0.01418	0.20075
7	177.66183	0.01097	0.21172
8	148.7297	0.00918	0.2209
9	138.32205	0.00854	0.22944
10	130.04985	0.00803	0.23747
11	125.84938	0.00777	0.24525
12	114.8966	0.00709	0.25234
13	111.48477	0.00688	0.25922
14	109.7442	0.00678	0.266
15	104.20537	0.00643	0.27243
16	101.51003	0.00627	0.2787
17	95.29985	0.00588	0.28459
18	93.19584	0.00575	0.29034
19	92.7839	0.00573	0.29607
20	88.42732	0.00546	0.30153
21	86.89185	0.00537	0.30689
22	85.7389	0.00529	0.31219
23	83.31216	0.00514	0.31733
24	79.31043	0.0049	0.32223
25	77.0574	0.00476	0.32699
26	76.24778	0.00471	0.3317
27	72.5103	0.00448	0.33617
28	71.30881	0.0044	0.34058
29	69.80601	0.00431	0.34489
30	69.26889	0.00428	0.34916
31	67.91268	0.00419	0.35336
32	67.04105	0.00414	0.3575
33	65.5464	0.00405	0.36154
34	64.46122	0.00398	0.36552
35	62.67432	0.00387	0.36939
36	62.41312	0.00385	0.37325
37	60.59049	0.00374	0.37699
38	60.15224	0.00371	0.3807
39	59.12008	0.00365	0.38435
40	57.79605	0.00357	0.38792
41	57.56143	0.00355	0.39148
42	57.04744	0.00352	0.395
43	56.09412	0.00346	0.39846
44	55.15688	0.00341	0.40187
45	53.98318	0.00333	0.4052
46	52.94484	0.00327	0.40847
47	52.54453	0.00324	0.41171
48	51.71464	0.00319	0.41491
49	50.96178	0.00315	0.41805
50	48.84624	0.00302	0.42107
51	48.6729	0.00301	0.42407
52	48.40913	0.00299	0.42706
53	48.07669	0.00297	0.43003
54	46.91714	0.0029	0.43293
55	46.09496	0.00285	0.43578
56	45.84978	0.00283	0.43861
57	45.31759	0.0028	0.4414
58	45.15391	0.00279	0.44419
59	44.3904	0.00274	0.44693
60	43.8165	0.00271	0.44964
61	43.41114	0.00268	0.45232
62	43.01595	0.00266	0.45498
63	42.84124	0.00265	0.45762
64	42.32838	0.00261	0.46023
65	41.88485	0.00259	0.46282
66	41.24158	0.00255	0.46537
67	40.77203	0.00252	0.46788
68	40.59983	0.00251	0.47039
69	40.12568	0.00248	0.47287
70	39.56042	0.00244	0.47531
71	39.43979	0.00244	0.47775
72	38.85367	0.0024	0.48015
73	38.45572	0.00237	0.48252
74	38.28236	0.00236	0.48488
75	38.02835	0.00235	0.48723
76	37.55684	0.00232	0.48955
77	37.18393	0.0023	0.49185
78	36.59462	0.00226	0.49411
79	36.49653	0.00225	0.49636
80	36.33212	0.00224	0.4986
81	35.67385	0.0022	0.50081
82	35.54391	0.00219	0.503
83	35.28323	0.00218	0.50518
84	35.12416	0.00217	0.50735
85	34.50347	0.00213	0.50948
86	34.38935	0.00212	0.5116
87	33.97824	0.0021	0.5137
88	33.63636	0.00208	0.51578
89	33.25252	0.00205	0.51783
90	33.05188	0.00204	0.51987
91	32.87473	0.00203	0.5219
92	32.56215	0.00201	0.52391
93	32.16776	0.00199	0.5259
94	32.07608	0.00198	0.52788
95	31.87515	0.00197	0.52985
96	31.62641	0.00195	0.5318
97	31.30575	0.00193	0.53373
98	31.19206	0.00193	0.53566
99	30.71805	0.0019	0.53755
100	30.6778	0.00189	0.53945
101	30.61457	0.00189	0.54134
102	30.37611	0.00188	0.54321
103	30.08502	0.00186	0.54507
104	29.885	0.00185	0.54692
105	29.61632	0.00183	0.54875
106	29.42852	0.00182	0.55056
107	29.18012	0.0018	0.55237
108	29.08621	0.0018	0.55416
109	28.81554	0.00178	0.55594
110	28.50523	0.00176	0.5577
111	28.18338	0.00174	0.55944
112	28.09716	0.00173	0.56118
113	27.98281	0.00173	0.5629
114	27.91534	0.00172	0.56463
