chromosome,class,start,stop,annotation
Chr16,gene,3412774,3418097,ID=gene:MD16G1048600;Name=MD16G1048600;Note=Transmembrane Fragile-X-F-associated protein
Chr16,gene,3420921,3423745,ID=gene:MD16G1048700;Name=MD16G1048700;Note=basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Chr16,gene,3434262,3434379,ID=gene:MD16G1048800;Name=MD16G1048800;rfam_acc=RF00001;rfam_id=5S_rRNA
Chr16,gene,3438770,3440143,ID=gene:MD16G1048900;Name=MD16G1048900;Note=Eukaryotic aspartyl protease family protein
Chr16,gene,3451626,3453011,ID=gene:MD16G1049000;Name=MD16G1049000;Note=TCP domain protein 12
Chr16,gene,3458358,3462099,ID=gene:MD16G1049100;Name=MD16G1049100;Note=Family of unknown function (DUF572)
Chr16,gene,3469881,3469996,ID=gene:MD16G1049200;Name=MD16G1049200;rfam_acc=RF00001;rfam_id=5S_rRNA
Chr16,gene,3478164,3479767,ID=gene:MD16G1049300;Name=MD16G1049300;Note=Hydroxyproline-rich glycoprotein family protein
Chr16,gene,3479770,3481079,ID=gene:MD16G1049400;Name=MD16G1049400
Chr16,gene,3481362,3484432,ID=gene:MD16G1049500;Name=MD16G1049500;Note=Hydroxyproline-rich glycoprotein family protein
Chr16,gene,3486255,3490299,ID=gene:MD16G1049600;Name=MD16G1049600;Note=Protein of unknown function
Chr16,gene,3491214,3495688,ID=gene:MD16G1049700;Name=MD16G1049700;Note=decapping 5
Chr16,gene,3496158,3502205,ID=gene:MD16G1049800;Name=MD16G1049800;Note=little nuclei1
Chr16,gene,3504916,3506854,ID=gene:MD16G1049900;Name=MD16G1049900;Note=RNI-like superfamily protein
